"Ano","Formação Florestal","Restinga Arbórea","Floresta Alagável","Mangue","Formação Savânica","Formação Campestre","Restinga Herbácea","Campo Alagado e Área Pantanosa","Afloramento Rochoso","Apicum","Outras Lavouras Perenes","Café","Citrus","Dendê","Arroz","Soja","Cana","Algodão","Outras Lavouras Temporárias","Silvicultura","Mosaico de Usos","Pastagem","Usina Fotovoltaica","Outras Áreas Não Vegetadas","Mineração","Praia, Duna e Areal","Área Urbanizada","Rio, Lago e Oceano","Aquicultura","Não Observado"
"1985","19.116.816"," - ","399.459","77.972","38.919.384","3.294.260","236.465","2.374.417","146.237","10.774","27.205","34.245"," - "," - ","3.967","1.367"," - "," - ","185.285","132","3.813.473","3.582.395"," - ","248.541","29","100.547","59.423","482.726","738"," - "
"1986","18.997.473"," - ","397.709","77.939","38.642.933","3.255.438","236.094","2.366.384","146.152","10.784","27.902","36.999"," - "," - ","3.676","6.275"," - "," - ","178.646","182","3.578.029","4.269.420"," - ","220.503","41","100.838","62.176","499.587","754"," - "
"1987","18.758.407"," - ","384.139","77.763","38.528.647","3.192.393","232.163","2.368.213","146.285","10.775","16.290","37.631"," - "," - ","4.459","24.299"," - "," - ","247.444","237","3.260.748","4.971.489"," - ","190.671","68","104.759","64.349","494.013","775"," - "
"1988","18.492.814"," - ","369.740","78.033","38.470.873","3.137.400","229.177","2.352.161","146.486","10.752","9.084","34.723"," - "," - ","2.827","61.137","42"," - ","278.646","1.718","3.032.916","5.553.020"," - ","186.751","119","104.117","67.534","495.182","858"," - "
"1989","18.390.412"," - ","371.741","78.075","38.350.964","3.084.029","226.902","2.341.310","146.626","10.539","8.440","31.550"," - "," - ","2.996","92.194","96"," - ","365.134","3.864","2.794.281","5.951.524"," - ","189.615","140","104.024","70.756","499.953","871"," - "
"1990","18.283.213"," - ","367.643","78.544","38.178.193","3.032.465","224.203","2.323.708","146.641","10.383","7.575","28.669"," - "," - ","6.692","105.359","469"," - ","415.813","9.045","2.655.884","6.365.920"," - ","194.310","150","105.309","74.419","500.566","886"," - "
"1991","18.175.546"," - ","360.990","78.500","37.996.338","2.992.114","221.431","2.306.652","146.728","10.029","6.223","25.305"," - "," - ","7.333","136.698","585"," - ","475.400","10.968","2.533.543","6.750.254"," - ","193.652","158","105.548","77.874","503.280","921"," - "
"1992","17.994.325"," - ","341.360","77.760","37.828.777","2.958.229","219.252","2.299.917","146.969","9.993","7.123","26.712"," - "," - ","7.564","162.374","847"," - ","515.606","11.055","2.433.112","7.195.172"," - ","189.346","170","110.284","81.302","497.922","908"," - "
"1993","17.821.065"," - ","320.841","77.626","37.657.448","2.930.676","217.872","2.296.166","147.225","10.071","6.736","26.294"," - "," - ","7.670","239.842","936"," - ","517.376","12.252","2.396.976","7.566.403"," - ","178.215","201","112.166","84.326","487.165","540"," - "
"1994","17.615.013"," - ","316.059","78.409","37.541.185","2.886.539","217.990","2.289.475","147.059","10.213","6.479","26.214"," - "," - ","10.665","302.868","1.073"," - ","507.055","14.955","2.404.023","7.891.144"," - ","169.115","216","107.769","87.590","484.906","6"," - "
