"Ano","Supressão vegetação primária","Supressão vegetação secundária"
"1985"," - "," - "
"1986"," - "," - "
"1987","579.369"," - "
"1988","554.691"," - "
"1989","465.877","970"
"1990","529.034","6.697"
"1991","506.745","14.929"
"1992","542.183","35.430"
"1993","509.590","42.965"
"1994","511.062","59.393"
"1995","552.091","75.211"
"1996","536.842","73.940"
"1997","466.972","56.920"
"1998","491.469","68.389"
"1999","534.494","84.372"
"2000","538.527","92.974"
"2001","543.371","85.683"
"2002","454.243","81.643"
"2003","510.691","107.046"
"2004","734.861","106.999"
"2005","592.378","92.732"
"2006","511.867","91.568"
"2007","456.425","91.822"
"2008","516.035","96.373"
"2009","438.154","93.603"
"2010","454.350","102.765"
"2011","412.355","111.847"
"2012","682.175","144.277"
"2013","748.080","173.924"
"2014","580.429","143.439"
"2015","562.574","131.864"
"2016","438.865","118.437"
"2017","410.301","110.387"
"2018","427.587","118.124"
"2019","601.817","140.354"
"2020","736.502","146.112"
"2021","609.652","154.410"
"2022","734.424","191.972"
"2023","975.653","215.035"
"2024","701.847","191.614"
