"Ano","Total queimado"
"1985","6.969.394"
"1986","7.646.550"
"1987","9.184.908"
"1988","9.388.992"
"1989","3.584.422"
"1990","4.855.557"
"1991","3.816.698"
"1992","4.514.474"
"1993","4.762.607"
"1994","6.466.772"
"1995","4.459.124"
"1996","6.643.391"
"1997","4.935.155"
"1998","10.281.189"
"1999","5.148.522"
"2000","5.324.411"
"2001","7.006.061"
"2002","6.063.484"
"2003","4.471.252"
"2004","6.156.128"
"2005","6.619.596"
"2006","3.376.210"
"2007","11.727.825"
"2008","4.993.141"
"2009","2.695.071"
"2010","11.044.387"
"2011","4.483.351"
"2012","9.625.587"
"2013","4.534.169"
"2014","6.583.620"
"2015","7.867.882"
"2016","6.172.202"
"2017","6.828.635"
"2018","3.570.221"
"2019","5.469.448"
"2020","5.183.052"
"2021","4.185.448"
"2022","5.265.655"
"2023","4.413.831"
"2024","5.828.917"
